Rank,Name,Team Code,Nationality,Points
49,CHIPOTLE - FIRST SOLAR DEVELOPMENT TEAM,CDT,UNITED STATES OF AMERICA,294
50,LOKOSPHINX,LOK,RUSSIAN FEDERATION,293
51,RC ARBÖ WELS GOURMETFEIN,RAD,AUSTRIA,258
52,KOGA CYCLING TEAM,KOG,NETHERLANDS,251
53,ATLAS PERSONAL - JAKROO,ARH,SWITZERLAND,241
54,SAVA,SAK,SLOVENIA,227
55,BDC - MARCPOL TEAM,BDC,POLAND,226
56,SALCANO - ARNAVUTKOY,SLC,TURKEY,223
57,KONYA TORKU SEKER SPOR,KTS,TURKEY,222
58,WHIRLPOOL - AUTHOR,WHI,CZECH REPUBLIC,219
59,,,,214
60,TEAM NSP - GHOST,NSP,GERMANY,209
61,UTENSILNORD NAMED,UNA,IRELAND,"195,2"
62,WALLONIE BRUXELLES - CREDIT AGRICOLE,WBC,BELGIUM,189
63,LKT TEAM BRANDENBURG,LKT,GERMANY,"186,5"
64,CARMIM - PRIO,PRT,PORTUGAL,184
65,TEAM SPECIALIZED CONCEPT STORE,SCS,GERMANY,177
66,,,,175
67,KOLSS CYCLING TEAM,KLS,UKRAINE,173
68,GIOS - DEYSER LEON KASTRO,TKT,GREECE,154
69,LA ALUMINIOS - ANTARTE,LAR,PORTUGAL,153
70,ASC DUKLA PRAHA,ADP,CZECH REPUBLIC,148
71,JOKER MERIDA,TJM,NORWAY,144
72,,,,139
73,RIETUMU - DELFIN,RBD,LATVIA,135
74,NUTRIXXION ABUS,TSP,GERMANY,132
75,ANDALUCIA,ACG,SPAIN,128
76,DUKLA TRENCIN TREK,DUK,SLOVAKIA,121
77,METEC CONTINENTAL CYCLINGTEAM,MET,NETHERLANDS,120
78,IDEMASPORT - BIOWANZE,FWB,BELGIUM,119
79,CYCLINGTEAM JO PIELS,CJP,NETHERLANDS,113
80,ALPHA BALTIC - UNITYMARATHONS.COM,ALB,LATVIA,106
81,TEAM OSTER HUS - RIDLEY,OHR,NORWAY,104
82,TEAM OPTUM PRESENTED BY KELLY BENEFIT STRATEGIES,OPT,UNITED STATES OF AMERICA,102
83,CHAMPION SYSTEM PRO CYCLING TEAM,CSS,PEOPLE'S REPUBLIC OF CHINA,98
84,ONDA,BOA,PORTUGAL,91
84,BLUE WATER CYCLING,BWC,DENMARK,91
86,RAIKO STÖLTING,TTR,GERMANY,90
87,TEAM CONCORDIA FORSIKRING - HIMMERLAND,VPC,DENMARK,89
88,TEAM DIFFERDANGE - MAGIC-SPORTFOOD.DE,CCD,LUXEMBOURG,84
89,COLBA - SUPERANO HAM,CMD,BELGIUM,83
90,GROUPEMENT SPORTIF PETROLIER ALGERIE,GSP,ALGERIA,79
91,DRAPAC CYCLING,DPC,AUSTRALIA,72
91,T.PALM - PÔLE CONTINENTAL WALLON,PCW,BELGIUM,72
93,THÜRINGER ENERGIE TEAM,TET,GERMANY,71
94,EPM - UNE,EPM,COLOMBIA,68
95,WSA - VIPERBIKE,WSA,AUSTRIA,66
95,UK YOUTH CYCLING,UKY,GREAT BRITAIN,66
97,ARBÖ GEBRÜDER WEISS - OBERNDORFER,KTM,AUSTRIA,59
98,,,,56
99,BURGOS BH - CASTILLA Y LEON,BUR,SPAIN,55
100,TEAM RALEIGH - GAC,RAL,GREAT BRITAIN,49
101,SUNWEB - REVOR,SUN,BELGIUM,45
102,RAPHA CONDOR,RCS,GREAT BRITAIN,40
103,ORBEA CONTINENTAL,ORB,SPAIN,39
104,AC SPARTA PRAHA,ASP,CZECH REPUBLIC,31
105,ONECO - MESTERHUS CYCLING TEAM,OCM,NORWAY,29
106,PLUSSBANK - BMC,PBC,NORWAY,26
107,TEAM EDDY MERCKX - INDELAND,TRS,GERMANY,22
107,MATRIX POWERTAG,MTR,JAPAN,22
109,AMORE & VITA,AMO,UKRAINE,20
109,TELENET - FIDEA,FID,BELGIUM,20
109,BKCP - POWERPLUS,BKP,BELGIUM,20
112,RTS RACING TEAM,RTS,CHINESE TAIPEI,17
113,TEAM HEIZOMAT,THF,GERMANY,15
114,SUBWAY CYCLING TEAM,SUB,NEW ZEALAND,12
115,ARGON 18 - UNAAS CYCLING,AUC,NORWAY,11
116,UZBEKISTAN SUREN TEAM,UST,UZBEKISTAN,10
116,START CYCLING TEAM - ATACAMA FLOWERY DESERT,STF,PARAGUAY,10
118,TEAM IG - SIGMA SPORT,IGS,GREAT BRITAIN,8
118,GEOFCO - VILLE D'ALGER,GVA,ALGERIA,8
120,TEAM BONITAS,BNT,SOUTH AFRICA,6
120,TEAM TRE - FOR,TTF,DENMARK,6
122,MARCO POLO CYCLING DONCKERS KOFFIE,MPC,ETHIOPIA,5
122,VELO CLUB SOVAC ALGERIE,VCS,ALGERIA,5
124,DESIGNA KOKKEN - KNUDSGAARD,DKK,DENMARK,3
125,MICHE - GUERCIOTTI *,MIE,ITALY,2
125,FUNVIC - PINDAMONHANGABA,FUN,BRAZIL,2
