Rank,UCI ID,Name,Nationality,Team Code,Age,Points
138,10006795337,SHALUNOV Evgeny,RUSSIAN FEDERATION,LOK,20,98
139,10007158681,VERRAES Benjamin,BELGIUM,BSL,25,98
140,10007351974,OLIVIER Daan,NETHERLANDS,RB3,20,98
141,10003052652,NEIRYNCK Stijn,BELGIUM,TSV,27,98
142,10006565870,JARRIER Benoit,FRANCE,VRU,23,98
143,10005839885,CATTANEO Mattia,ITALY,,22,97
144,10005603348,PICAUT Fabien,FRANCE,AUB,37,97
145,10006624474,ZILIOLI Gianfranco,ITALY,,22,96
146,10001661108,POZZATO Filippo,ITALY,FAR,31,96
147,10006468062,COLBRELLI Sonny,ITALY,COG,22,"94,2"
148,10006784122,VON HOFF Steele,AUSTRALIA,CDT,25,94
149,10004444200,VANDOUSSELAERE Sven,BELGIUM,TSV,24,94
150,10005852922,COUSIN Jérôme,FRANCE,EUC,23,93
151,10002082147,PETROV Danail,BULGARIA,CJR,34,93
152,10006883243,HUNDAHL Michael Valgren,DENMARK,GLU,20,92
153,10004620517,PERICHON Pierre Luc,FRANCE,LPM,25,92
154,10003212094,KOCJAN Jure,SLOVENIA,TT1,28,92
155,10005608196,KORETZKY Clément,FRANCE,LPM,22,91
156,10003078924,DI GREGORIO Remy,FRANCE,COF,27,91
157,10002879062,SARAMOTINS Aleksejs,LATVIA,COF,30,90
158,10005894752,ROSA Diego,ITALY,,23,90
159,10007131908,BELDA José,SPAIN,,37,90
160,10006895064,COQUARD Bryan,FRANCE,,20,90
161,10002832077,TACIAK Mateusz,POLAND,CCC,28,89
162,10005510388,RYBAKOV Alexander,RUSSIAN FEDERATION,TIK,24,89
163,10006176153,POMOSHNIKOV Sergei,RUSSIAN FEDERATION,TIK,22,89
164,10004504016,HUREL Tony,FRANCE,EUC,25,89
165,10001413554,METLUSHENKO Yuriy,UKRAINE,KTS,36,89
166,10007295996,SLIK Ivar,NETHERLANDS,RB3,19,88
167,10006882334,STALLAERT Joeri,BELGIUM,LAN,21,88
168,10006242841,DE BIE Sean,BELGIUM,,21,88
169,10006281338,LANDER Sebastian,DENMARK,GLU,21,87
170,10005592638,PIEDRA PEREZ Antonio,SPAIN,CJR,27,87
171,10002208853,DE KORT Koen,NETHERLANDS,ARG,30,87
172,10004625971,SCHORN Daniel,AUSTRIA,APP,24,"86,35"
173,10002234216,PÜTSEP Erki,ESTONIA,ALB,36,86
174,10001129527,KOVAC Maros,SLOVAKIA,DUK,35,85
175,10005564043,DE NEGRI Pier Paolo,ITALY,FAR,26,84
176,10003088725,MARQUE PORTO Alejandro,SPAIN,PRT,31,84
177,10007130490,FACCHINI Patrick,ITALY,,24,83
178,10001219756,BODROGI Laszlo,FRANCE,TT1,36,83
179,10007293269,GROENEWEGEN Dylan,NETHERLANDS,RIJ,19,82
180,10005763396,THÖMEL Tino,GERMANY,NSP,24,81
181,10001197932,GARZELLI Stefano,ITALY,ASA,39,81
182,10002795503,RIBEIRO Sérgio,PORTUGAL,EFG,32,81
183,10002832279,TRUSOV Nikolay,RUSSIAN FEDERATION,RVL,27,"80,5"
184,10005389342,VAN ZANDBEEK Ronan,NETHERLANDS,ARG,24,80
185,10002726488,ROTH Ryan,CANADA,SPI,29,80
186,10001464680,GNEZDA Matej,SLOVENIA,ADR,33,79
187,10005503217,GUARDINI Andrea,ITALY,FAR,23,79
188,10002289180,FAJT Kristjan,SLOVENIA,ADR,30,78
189,10004509470,BUSATO Matteo,ITALY,IDE,25,78
190,10006884556,VAN DER LIJKE Nick,NETHERLANDS,RB3,21,78
191,10001457913,CAMAÑO ORTUZAR Iker,SPAIN,EDR,33,"77,2"
