Rank,UCI ID,Name,Nationality,Team Code,Age,Points
159,10015083480,BATTISTELLA Samuele,ITALY,APT,23,385
160,10011235008,FORTUNATO Lorenzo,ITALY,EOK,25,379
161,10015281524,HERREGODTS Rune,BELGIUM,SVB,23,375
162,10011134368,SIVAKOV Pavel,RUSSIAN FEDERATION,IGD,24,373
163,10009392412,VENDRAME Andrea,ITALY,ACT,27,372
164,10009971378,CAVAGNA Rémi,FRANCE,DQT,26,370
165,10002416694,GILBERT Philippe,BELGIUM,LTS,39,367
165,10006467961,SBARAGLI Kristian,ITALY,AFC,31,367
167,10004443792,PLANCKAERT Baptiste,BELGIUM,IWG,33,366
167,10006444521,BENNETT George,NEW ZEALAND,TJV,31,366
169,10022711017,KOOIJ Olav,NETHERLANDS,TJV,20,357
170,10008666932,CAPIOT Amaury,BELGIUM,ARK,28,355
170,10036503306,JENSEN Mattias,DENMARK,TFS,21,355
172,10079890392,JOHANNESSEN Tobias Halland,NORWAY,UDT,22,"353,83"
173,10015722165,BAGIOLI Andrea,ITALY,DQT,22,353
174,10009095954,FABBRO Matteo,ITALY,BOH,26,350
175,10002711435,HAUSSLER Heinrich,AUSTRALIA,TBV,37,346
176,10005457646,OLIVEIRA Nelson,PORTUGAL,MOV,32,345
176,10005842212,SIMON Julien,FRANCE,TEN,36,345
178,10007518591,FORMOLO Davide,ITALY,UAD,29,343
178,10009709175,CICCONE Giulio,ITALY,TFS,27,343
178,10010994932,BANASZEK Alan,POLAND,MSP,24,343
181,10043045045,DIAZ GALLEGO Jose Manuel,SPAIN,DKO,26,342
182,10009037552,RESTREPO VALENCIA Jhonatan,COLOMBIA,ANS,27,341
182,10013400330,JURADO LOPEZ Christofer,PANAMA,PCV,26,341
184,10003259685,COSTA Rui,PORTUGAL,UAD,35,340
185,10008656828,GAVIRIA RENDON Fernando,COLOMBIA,UAD,27,339
186,10006271234,ARU Fabio,ITALY,TQA,31,337
187,10003214522,TAARAMÄE Rein,ESTONIA,IWG,34,336
188,10007995814,GESBERT Elie,FRANCE,ARK,26,333
189,10008942471,LAAS Martin,ESTONIA,BOH,28,331
190,10008658545,GARCIA CORTINA Ivan,SPAIN,MOV,26,330
191,10013718511,MAIN Kent,SOUTH AFRICA,PRO,25,"329,66"
192,10010091216,MENTEN Milan,BELGIUM,BWB,25,329
193,10022761032,VAN DIJKE Mick,NETHERLANDS,TJV,21,"326,67"
194,10007750381,DE GENDT Aime,BELGIUM,IWG,27,325
195,10041514162,AYUSO PESQUERA Juan,SPAIN,UAD,19,"323,8"
196,10010023316,HALVORSEN Kristoffer,NORWAY,UXT,25,323
196,10016241117,RENARD Alexis,FRANCE,ISN,22,323
198,10009501233,AFFINI Edoardo,ITALY,TJV,25,"321,67"
199,10005818162,BRAMBILLA Gianluca,ITALY,TFS,34,318
199,10010096569,PADUN Mark,UKRAINE,TBV,25,318
199,10014947579,BURGAUDEAU Mathieu,FRANCE,TEN,23,318
202,10015686904,VAN DEN BERG Marijn,NETHERLANDS,CGF,22,"317,5"
203,10006634780,PEDRERO Antonio,SPAIN,MOV,30,317
204,10086252279,POELS Wouter,NETHERLANDS,TBV,34,316
205,10008653996,BOUWMAN Koen,NETHERLANDS,TJV,28,"314,66"
206,10005380450,MAJKA Rafal,POLAND,UAD,32,313
206,10007293269,GROENEWEGEN Dylan,NETHERLANDS,TJV,28,313
206,10010966842,ZIMMERMANN Georg,GERMANY,IWG,24,313
206,10014015975,LAUK Karl Patrick,ESTONIA,,24,313
210,10004620517,PERICHON Pierre Luc,FRANCE,COF,34,309
210,10008693204,RODRIGUEZ MARTIN Cristian,SPAIN,TEN,26,309
212,10007216073,SARREAU Marc,FRANCE,ACT,28,308
212,10005583948,ABERASTURI IZAGA Jon,SPAIN,CJR,32,308
214,10011227631,RODRIGUEZ GARAICOECHEA Oscar,SPAIN,APT,26,303
215,10008694113,SCHMIDT Mads Würtz,DENMARK,ISN,27,302
216,10006384196,MCLAY Daniel,GREAT BRITAIN,ARK,29,301
217,10009230441,HODEG CHAGUI Alvaro Jose,COLOMBIA,DQT,25,298
218,10003032949,CLARKE Simon,AUSTRALIA,TQA,35,297
218,10007527988,RÄIM Mihkel,ESTONIA,MSP,28,297
218,10009976836,SOBRERO Matteo,ITALY,APT,24,297
218,10076572487,SIMMONS Quinn,UNITED STATES OF AMERICA,TFS,20,297
222,10008700880,VILLELLA Davide,ITALY,MOV,30,296
223,10015601220,LOUVEL Matis,FRANCE,ARK,22,295
224,10008855171,GHEBREMEDHIN Merhawi,ERITREA,APT,27,293
224,10009372103,GENIETS Kévin,LUXEMBOURG,GFC,24,293
224,10009817693,DE KLEIJN Arvid,NETHERLANDS,RLY,27,293
227,10010957546,ANIOLKOWSKI Stanislaw,POLAND,BWB,24,288
228,10009505475,ALBANESE Vincenzo,ITALY,EOK,25,281
229,10006494132,HALLER Marco,AUSTRIA,TBV,30,278
229,10040750892,ADRIA OLIVERAS Roger,SPAIN,EKP,23,278
231,10010042615,AMEZQUETA MORENO Julen,SPAIN,CJR,28,276
232,10006564860,SEPULVEDA Eduardo,ARGENTINA,ANS,30,275
233,10006479782,ARNDT Nikias,GERMANY,DSM,30,274
234,10008638539,ROBEET Ludovic,BELGIUM,BWB,27,273
235,10005874645,DELAPLACE Anthony,FRANCE,ARK,32,272
236,10002692540,POZZOVIVO Domenico,ITALY,TQA,39,271
237,10076057377,ARCHIBOLD CASTILLO Franklin,PANAMA,PCV,24,270
238,10011081424,GROSSSCHARTNER Felix,AUSTRIA,BOH,28,269
238,10050785746,POLANC Jan,SLOVENIA,UAD,29,269
