Rank,UCI ID,Name,Nationality,Team Code,Age,Points,
200,10006828174,HANSEN Jesper,DENMARK,AST,27,352,
201,10006584765,PETIT Adrien,FRANCE,DEN,27,351,
202,10006004280,SELIG Rüdiger,GERMANY,BOH,28,348,
203,10007216073,SARREAU Marc,FRANCE,FDJ,24,347,
204,10004778141,BLYTHE Adam,GREAT BRITAIN,ABS,28,345,
205,10009966429,ABRAHAM Meron,ERITREA,,22,344,
206,10006282247,JANSE VAN RENSBURG Reinardt,SOUTH AFRICA,DDD,28,343,
207,10002204914,WEENING Pieter,NETHERLANDS,RNL,36,341,
208,10004433688,BAUGNIES Jerome,BELGIUM,WGG,30,339,
209,10007900026,BOUDAT Thomas,FRANCE,DEN,23,339,
210,10002298779,RUTKIEWICZ Marek,POLAND,WIB,36,338,
211,10004032251,PATERSKI Maciej,POLAND,CCC,31,336,
212,10006255571,WIPPERT Wouter,NETHERLANDS,CDT,27,336,
213,10007890730,CONSONNI Simone,ITALY,UAD,23,335,
214,10007760687,DEVRIENDT Tom,BELGIUM,WGG,26,333,
215,10008673804,GIBBONS Ryan,SOUTH AFRICA,DDD,23,332,
216,10005874645,DELAPLACE Anthony,FRANCE,TFO,28,332,
217,10008633889,HUFFMAN Evan,UNITED STATES OF AMERICA,RLY,27,332,
218,10008674612,GUERREIRO Ruben,PORTUGAL,TFS,23,331,
219,10004641937,PANTANO GOMEZ Jarlinson,COLOMBIA,TFS,29,331,
220,10073619243,PEDERSEN Casper,DENMARK,TGC,21,331,
221,10004599400,VASYLYUK Andriy,UKRAINE,KLS,30,326,
222,10007631557,MÜHLBERGER Gregor,AUSTRIA,BOH,23,325,
223,10007516773,SENECHAL Florian,FRANCE,COF,24,325,
224,10003105192,LOUBET Julien,FRANCE,ADT,32,323,
225,10001573202,DUMOULIN Samuel,FRANCE,ALM,37,322,
226,10007508790,ORKEN Ahmet,TURKEY,TRK,24,321,
227,10008854464,ROOSEN Timo,NETHERLANDS,TLJ,24,319,
228,10002264023,KEISSE Iljo,BELGIUM,QST,35,317,
229,10005692264,TORRES AGUDELO Rodolfo Andres,COLOMBIA,ANS,30,316,
230,10001399006,NOCENTINI Rinaldo,ITALY,STA,40,314,
231,10004632237,VALLS FERRI Rafael,SPAIN,LTS,30,313,
232,10005965884,AVILA VANEGAS Edwin Alcibiades,COLOMBIA,ILU,28,312,
233,10004611726,KUMP Marko,SLOVENIA,UAD,29,311,
234,10009817693,DE KLEIJN Arvid,NETHERLANDS,BDC,23,311,
235,10003205327,KREUZIGER Roman,CZECH REPUBLIC,ORS,31,310,
236,10008912563,MASNADA Fausto,ITALY,ANS,24,309,
237,10007224056,STÜSSI Colin Chris,SWITZERLAND,TRA,24,309,
238,10006412690,SHILOV Sergei,RUSSIAN FEDERATION,LOK,29,308,
239,10007855667,GAFFURINI Nicola,ITALY,,28,306,
240,10009362908,FILOSI Iuri,ITALY,NIP,25,306,
241,10007946910,BAYLY Cameron,AUSTRALIA,IWS,27,305,
242,10006145841,VAN KEIRSBULCK Guillaume,BELGIUM,WGG,26,304,
243,10004503915,PAPOK Siarhei,BELARUS,MCC,29,303,25
244,10008971268,MOLANO BENAVIDES Juan Sebastian,COLOMBIA,MZN,23,303,
245,10004609908,LIGTHART Pim,NETHERLANDS,RNL,29,303,
246,10003471873,BIBBY Ian,GREAT BRITAIN,JLT,31,302,
247,10006006506,LIETAER Eliot,BELGIUM,SVB,27,302,
248,10005584150,GARCIA DE MATEOS RUBIO Vicente,SPAIN,LHL,29,301,
249,10008814351,POWLESS Neilson,UNITED STATES OF AMERICA,AHB,21,301,
250,10009226401,MARTINEZ POVEDA Daniel Felipe,COLOMBIA,WIL,21,301,
251,10006231525,TALANSKY Andrew,UNITED STATES OF AMERICA,,29,301,
252,10004816739,DE GENDT Thomas,BELGIUM,LTS,31,300,
253,10006469375,HIRT Jan,CZECH REPUBLIC,CCC,26,299,
254,10009646733,LEVEAU Jérémy,FRANCE,RLM,25,299,
255,10015825936,BJERG Mikkel,DENMARK,TGC,19,299,
256,10005776433,EARLE Nathan,AUSTRALIA,UKO,29,297,
257,10003225030,GAUTIER Cyril,FRANCE,ALM,30,297,
