Rank;UCI ID;Name;Nationality;Team Code;Age;Points
148;10009578530;HAMUNYELA Johannes;NAMIBIA;;22;10
149;10007915281;MENGSTAB Meron Amanuel;ERITREA;BAI;25;10
150;10005661750;LINCOLN Yannick;MAURITIUS;;33;8
151;10009111718;MANS Gerhard;NAMIBIA;;28;8
152;10010083940;IFERD Bader;MOROCCO;;25;8
153;10005323058;GUEWA Clovis;CAMEROON;;30;8
154;10010884996;GBIGBI Saint Merveil;CENTRAL AFRICAN REPUBLIC;;21;8
155;10010111121;TESFAYE Gosye;ETHIOPIA;;23;8
156;10009704428;KIBROM Merhawi;ERITREA;;29;8
157;10010877724;KHUMALO Lawrence;ZIMBABWE;;30;8
158;10009635114;BENYOUB Zoheir;ALGERIA;GSP;19;8
159;10008919132;MERCIER Alexandre;SWITZERLAND;;25;8
160;10010943705;KERVRAN Kevin;FRANCE;;32;8
161;10009416357;SMIT Willem Jakobus;SOUTH AFRICA;;23;8
162;10009027650;PAPO Xavier;NAMIBIA;;25;8
163;10005430768;LAMOISSON Morgan;FRANCE;EUC;27;8
163;10005615472;GRACZYK Vincent;FRANCE;;31;8
163;10007508790;ORKEN Ahmet;TURKEY;TRK;22;8
163;10009577116;YARBANGA Salifou;BURKINA FASO;;26;8
163;10009988253;KEDDAH Salim;ALGERIA;;19;8
168;10005874645;DELAPLACE Anthony;FRANCE;BSE;26;7
169;10009923585;KARMOUCHI Hatim;MOROCCO;MCT;23;6
170;10010082930;ZABO Jonathan;CENTRAL AFRICAN REPUBLIC;;31;6
171;10010884289;MULUALEM Getenew;ETHIOPIA;;21;6
172;10010111424;TSEGAY Amanueal;ERITREA;;20;6
173;10010735759;WELSH Alexander;ZIMBABWE;;19;6
174;10010095963;REGAII Seifeddine;TUNISIA;;22;6
175;10008935300;HIDA Abdallah;MOROCCO;;24;6
176;10009573779;PATTE Kevin;SOUTH AFRICA;;22;6
177;10009648551;BOUZIDI Mohamed;ALGERIA;VCS;21;6
178;10005540195;HARING Martin;SLOVAKIA;CKB;29;6
179;10005918394;BYUKUSENGE Nathan;RWANDA;;35;6
180;10008952272;AFEWERKI Elyas;ERITREA;;23;6
181;10003046891;CUFF Ingram;NAMIBIA;;33;6
182;10007889821;MINOUGOU Noufou;BURKINA FASO;;27;5,67
183;10010882875;RABAYE Fidzerald;MAURITIUS;;19;5
184;10003038609;DE JONGE Maarten;NETHERLANDS;BAI;30;5
185;10004841492;PALCAK Jozef;SLOVAKIA;CKB;28;5
185;10006630033;CHINELLO Fabio;ITALY;UNI;26;5
185;10006656002;MAYER Yannick;GERMANY;BAI;24;5
185;10008878817;MONCORGÉ Pierre;FRANCE;;23;5
185;10008893567;LIPONNE Julien;FRANCE;;32;5
185;10011028476;BOSCH Manuel;SWITZERLAND;;26;5
185;10061515865;KYBURTZ Michael;SWITZERLAND;;26;5
192;10010884895;AZOUKA Samuel;CENTRAL AFRICAN REPUBLIC;;20;4
193;10001072943;TENOR Wolfgang;AUSTRIA;;45;3
194;10061392492;FOURNET-FAYART Sébastien;FRANCE;;30;3
195;10010885303;NGANAFIO Wilfrid;CENTRAL AFRICAN REPUBLIC;;21;3
196;10010884390;WUBE Tewachew;ETHIOPIA;;19;3
197;10010877825;MTUPHA Ralph;ZIMBABWE;;46;3
198;10006478267;MRAÏHI Aymen;TUNISIA;;24;3
199;10008198403;IHLENFELDT Stefan;SOUTH AFRICA;;26;3
200;10005626990;TEKOU Damien;CAMEROON;;31;3
201;10007125844;AKSOY Ismail;TURKEY;TRK;26;3
202;10006706421;CHENAUX Adrien;SWITZERLAND;;24;3
203;10010090206;CHIPONENI Kashululu;NAMIBIA;;24;3
204;10008051687;GIDAY Kbrom Hailay;ETHIOPIA;;26;2,67
204;10008661474;ASBHA Getachew yonas;ETHIOPIA;;25;2,67
204;10010594404;BURU Temesgen;ETHIOPIA;;21;2,67
207;10009694425;CHONG CHIN Mike;MAURITIUS;;39;2
208;10010884491;MINTESIMOT Samson;ETHIOPIA;;20;2
209;10009130411;KAREGEYA Jérémie;RWANDA;;22;2
210;10002620600;SOUISSI Samir;TUNISIA;;49;2
211;10006960237;KÖHNE Heinrich;NAMIBIA;;30;2
212;10002644747;HERZ Serge;GERMANY;;32;2
212;10005934360;TORRES BARCELO Albert;SPAIN;ECU;25;2
212;10007917305;AMANUEL Million;ERITREA;;24;2
212;10008898621;BODIN Malween;FRANCE;;28;2
212;10009428784;DEBNAR Miroslav;SLOVAKIA;CKB;32;2
212;10009581964;HAILE Yonas Tekeste;ERITREA;;20;2
212;10011079404;SANKARA Hamidou;COTE D'IVOIRE;;29;2
219;10009351588;NASSER Islam;EGYPT;;21;1,33
219;10009637336;IMAM Mohamed;EGYPT;;19;1,33
219;10009972085;SHAWKY Islam;EGYPT;;20;1,33
219;10009990172;AHMED Osama;EGYPT;;22;1,33
223;10010083031;KOGBIA Alain;CENTRAL AFRICAN REPUBLIC;;29;1
224;10010912985;FISEHA Sintayehu;ETHIOPIA;;22;1
225;10010168917;TUYISHIMIRE Ephrem;RWANDA;;19;1
226;10010101522;STAMBOULI Abderrahmane;ALGERIA;;20;1
227;10010865192;ZADDEM Oussama;TUNISIA;;20;1
228;10010094650;CHOUMOUCH Otmane;MOROCCO;;20;1
229;10007521827;BARTH Gerbert Joze Jurgen;NAMIBIA;;22;1
