Rank;UCI ID;Name;Nationality;Team Code;Age;Points
118;10003675573;GALLARDO GALLEGUILLOS Javier;CHILE;;31;43
119;10007528796;OCHOA CAMARGO Diego Antonio;COLOMBIA;BRC;23;41
120;10013931507;JEFFREY Raynauth;GUYANA;;22;40
121;10010880047;BENITEZ Omar;EL SALVADOR;;28;40
122;10009037047;LOVELL Giovanni;BELIZE;;21;40
123;10051994206;PICCOLI James;CANADA;;25;40
124;10003108327;ROUTLEY Will;CANADA;RLY;33;40
125;10003233417;PINHEIRO DA SILVA Roberto;BRAZIL;FSC;33;40
126;10008954393;JIATZ Nervin;GUATEMALA;;24;40
127;10005692466;SARMIENTO TUNARROSA Jose Cayetano;COLOMBIA;EPM;29;40
128;10009647844;SERRANO FORERO Cristian Camilo;COLOMBIA;;27;40
129;10003272217;KÖNIG Leopold;CZECH REPUBLIC;SKY;29;40
130;10007059055;YATES Adam;GREAT BRITAIN;OBE;24;40
131;10006843736;BUSCHE Matthew;UNITED STATES OF AMERICA;UHC;31;39
132;10008855676;DAHL Kristofer;CANADA;SPC;24;37
133;10008884776;GUZMÁN ROSARIO William De Jesus;DOMINICAN REPUBLIC;DCT;24;35
134;10010089701;SIMON Andre;ANTIGUA AND BARBUDA;;29;35
135;10005933956;PHINNEY Taylor;UNITED STATES OF AMERICA;BMC;26;35
136;10007906490;SPENCER Marvin;ANTIGUA AND BARBUDA;;43;35
137;10004546351;ZIRBEL Tom;UNITED STATES OF AMERICA;RLY;38;35
138;10007254873;ABREU Jorge;BOLIVARIAN REPUBLIC OF VENEZUELA;;26;35
139;10004716507;ROJAS Yosvans;BOLIVARIAN REPUBLIC OF VENEZUELA;;28;35
140;10002720226;DIDIER Laurent;LUXEMBOURG;TFS;32;35
141;10002420132;TEN DAM Laurens;NETHERLANDS;TGA;36;35
142;10008901449;LE LAVANDIER Maxime;FRANCE;;24;34
143;10008909230;CRUZ COLON Adderlyn Felix;DOMINICAN REPUBLIC;;25;34
144;10005482605;MORTON Angus;AUSTRALIA;JBC;27;34
