Rank,UCI ID,Name,Nationality,Team Code,Age,Points
341,10008946717,SAVENKA Ina,BELARUS,,26,33
342,10023490552,WIEL Jade,FRANCE,FDJ,20,33
343,10015331438,ROBERTS Jessica,GREAT BRITAIN,MTS,21,33
344,10008965814,KLEIN Lisa,GERMANY,CSR,24,"31,33"
345,10010084849,CHERNYSHOVA Galina,RUSSIAN FEDERATION,SSR,27,31
346,10063679369,SOONIK Kristel Sandra,ESTONIA,,19,31
347,10077806108,PRIETO OSTIA DE GODOY Annibel Emilia,PANAMA,,36,30
348,10107574903,DANAILOVA Elitsa,BULGARIA,,44,30
349,10015835030,MURPHY Kelly,IRELAND,,31,30
350,10063606823,JANG Suji,KOREA,,23,30
351,10107584401,VILAÇA Vera,PORTUGAL,,22,30
352,10049811706,HADŽI-ILIĆ Maja,SERBIA,,39,30
353,10009196489,BONILLA ESCAPITE Jessica,MEXICO,,24,30
354,10054904610,LAMPRECHT Astrid,AUSTRIA,,40,30
354,10062034211,JORONEN Hanna,FINLAND,,29,30
354,10107613295,HALBWACHS Celia,MAURITIUS,,28,30
357,10049289219,GUICHARNAUD Rannveig,ICELAND,,48,30
358,10015336286,NIGUL Mathilde Manuela,ESTONIA,,20,30
359,10014575848,STAN Miriam,ROMANIA,,23,30
360,10008598022,STEYN Irene,NAMIBIA,,43,30
361,10086404247,PERRY Georgia,NEW ZEALAND,,27,30
362,10063015022,FENG Lin,PEOPLE'S REPUBLIC OF CHINA,,23,30
363,10084449901,BARTHELS Maïté,LUXEMBOURG,,19,30
364,10015509775,VAN DER HULST Amber,NETHERLANDS,PHV,21,30
365,10013943631,GULLIKSEN Line Marie,NORWAY,,30,30
366,10015336791,ŠEVČÍKOVÁ Petra,CZECH REPUBLIC,,20,30
367,10004844324,HENZELIN Lise-Marie,SWITZERLAND,,29,30
368,10045588970,DOS SANTOS Sandra,PORTUGAL,,28,30
369,10015230293,YOUNG Grace,IRELAND,,43,30
370,10053795473,MARTINEZ MIÑARRO Katis,MEXICO,,19,30
371,10063969460,LIODAKI Sofia,GREECE,,19,30
372,10009637134,MATHIESEN Pernille,DENMARK,SUN,23,30
372,10010785471,KAPOTT Szonja,HUNGARY,,22,30
372,10054351003,LILAND Merethe,NORWAY,,28,30
375,10039712184,TRIAS JORDAN Mireia,SPAIN,MAT,20,30
375,10054543484,WLODARCZYK Dominika,POLAND,,19,30
377,10004604450,ŽAKELJ Tanja,SLOVENIA,,32,30
378,10075787090,PREEN Hayley,SOUTH AFRICA,,22,30
379,10023137817,SMULDERS Silke,NETHERLANDS,,19,30
380,10006501913,FRANCKE Agnieta,NETHERLANDS,,30,30
381,10014322436,ALLIN Pauline,FRANCE,ARK,25,29
382,10079063367,BEEKHUIS Teuntje,NETHERLANDS,LSL,25,29
383,10006824740,RIABCHENKO Tetiana,UKRAINE,,31,28
384,10023500858,KUZNETSOVA Irina,RUSSIAN FEDERATION,SSR,22,28
385,10006380762,HAMMES Kathrin,GERMANY,WNT,31,28
386,10014819964,BORGHESI Letizia,ITALY,VAI,22,28
387,10054817007,GANZAR Leigh Ann,UNITED STATES OF AMERICA,RLW,31,28
388,10004735806,KESSLER Nina,NETHERLANDS,TIB,32,26
389,10010638557,BUURMAN Eva,NETHERLANDS,DLT,26,"25,67"
390,10073708967,MAOZ Nofar,ISRAEL,,19,25
391,10005601732,LEE Jumi,KOREA,,31,25
392,10107797902,SOPHIE Amme,KOSOVO,,20,25
393,10108099410,ALZAID Ahlam,SAUDI ARABIA,,30,25
394,10048898084,KREIDL Katharina,AUSTRIA,,19,25
395,10008904883,ROZLAPA Dana,LATVIA,,41,25
396,10106074736,HINZ Melissa,NAMIBIA,,35,25
397,10106488196,GARALIEVA Maria,BULGARIA,,33,25
398,10096004116,LUOMA Aino,FINLAND,,33,25
399,10013663644,BLOOR Ella,AUSTRALIA,,25,25
400,10015240603,VOUTZALI Vasiliki,GREECE,,37,25
401,10008599638,GUTIERREZ ARZALUZ Ariadna,MEXICO,AGO,29,25
402,10007465344,WARAPIANG Siriluck,THAILAND,,28,25
403,10080937386,BUPPHA Surattiya,THAILAND,,20,25
