Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
,113,BARTELLONI,Beatrice,ITA,WIGGLE HONDA,W,20,,,,DNF
,114,KITCHEN,Lauren,AUS,WIGGLE HONDA,W,23,,,,DNF
,116,COLLINS,Emily,NZL,WIGGLE HONDA,W,23,,,,DNF
,126,SCHREURS,Geerike,NED,SENGERS LADIES CYCLING TEAM,W,24,,,,DNF
,132,CECCHINI,Elena,ITA,FAREN - LET'S GO FINLAND TEAM,W,21,,,,DNF
,144,EPELDE BIKENDI,Mireia,ESP,MICHE VILLE D'ALGER,W,28,,,,DNF
,152,BASTIANELLI,Valentina,ITA,VAIANO FONDRIEST,W,26,,,,DNF
,155,MARTINI,Alessia,ITA,VAIANO FONDRIEST,W,21,,,,DNF
,156,SOSENKO,Aleksandra,LTU,VAIANO FONDRIEST,W,22,,,,DNF
,161,GERCAMA,Alie,NED,TEAM FUTURUMSHOP.NL,W,23,,,,DNF
,164,VERHOEVEN,Aurore,FRA,TEAM FUTURUMSHOP.NL,W,23,,,,DNF
,165,PIJNENBORG,Mascha,NED,TEAM FUTURUMSHOP.NL,W,32,,,,DNF
,172,ROCHA GUERRERO,Mayra Del Rocio,MEX,GSD GESTION - KALLISTO,W,25,,,,DNF
,173,BRIEN,Alizee,CAN,GSD GESTION - KALLISTO,W,20,,,,DNF
,175,DELEV,Charlene,GER,GSD GESTION - KALLISTO,W,24,,,,DNF
,181,CANUEL,Karol-Ann,CAN,VIENNE FUTUROSCOPE,W,25,,,,DNF
,183,DUTRIAUX,Fiona,FRA,VIENNE FUTUROSCOPE,W,24,,,,DNF
,191,CHACON GARCIA,Lilibeth De Carmen,VEN,BIZKAIA - DURANGO,W,21,,,,DNF
,192,ESKAMENDI GIL,Dorleta,ESP,BIZKAIA - DURANGO,W,21,,,,DNF
,193,HOGAN,Joanne,AUS,BIZKAIA - DURANGO,W,31,,,,DNF
,194,NORIEGA,Mar�a,ESP,BIZKAIA - DURANGO,W,31,,,,DNF
,204,GAFINOVITZ,Rotem,ISR,TOPSPORT VLAANDEREN - BIORACER,W,21,,,,DNF
,212,OLSSON,Madelene,SWE,CRAMO GO:GREEN,W,31,,,,DNF
,214,HELAMB,Hanna,SWE,CRAMO GO:GREEN,W,19,,,,DNF
,221,BRULEE,Latoya,BEL,CYCLELIVE PLUS - ZANNATA,W,25,,,,DNF
,225,OTTEN,Marissa,NED,CYCLELIVE PLUS - ZANNATA,W,24,,,,DNF
,231,BERLATO,Elena,ITA,TOP GIRLS FASSA BORTOLO,W,25,,,,DNF
,232,BITTO,Irene,ITA,TOP GIRLS FASSA BORTOLO,W,20,,,,DNF
,234,FIORI,Jennifer,ITA,TOP GIRLS FASSA BORTOLO,W,27,,,,DNF
,236,STEFANI,Francesca,ITA,TOP GIRLS FASSA BORTOLO,W,22,,,,DNF
,241,RATKIC,Larissa,AUT,SQUADRA SCAPPATELLA,W,19,,,,DNF
,244,TRAXL-PINTARELLI,Daniela,AUT,SQUADRA SCAPPATELLA,W,30,,,,DNF
,,HOEKSMA,Ilona,NED,NETHERLANDS,W,22,,,,DNF
,,SPOOR,Winanda,NED,NETHERLANDS,W,22,,,,DNF
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
